,Requirement ID,Functional Capability - Level 1,Functional Capability - Level 2,Approval Workflow Process Step,Requirement Description,Priority,Requirement Reference,ABC Function Map,Module,Response Type,Comments,Vendor Score,DMS Interaction
,Requirement serial number,ABC Functional Capability (L1) as per Value Map,ABC Functional Capability (L2) as per Value Map,"Mapped Workflow Process Step, if applicable",Detailed description of the requirement ,Must Have and Good to Have,"Requirement mapped to toolkit, template, workshop",Requirement mapped to ABC function(s),Relevant solution module (if applicable),"Response Type: Fully Meets Requirement (with out-of-the-box customization), Fully Meets Requirement (with customization from scratch), Partially Meets Requirement (with out-of-the-box customization), Partially Meets Requirement (with customization from scratch), Does Not Meet Requirement",,Scoring of vendor based on response type and priority type selected,
,,Planning,,,,,,,,,,,
,,Planning,Market Analysis,,,,,,,,,,
,1,Planning,Market Analysis,A. Preliminary Stakeholder Engagement and Planning,"Ability to upload the Market Analysis Reports (market assessment and market intelligence reports in any formats e.g. MS PowerPoint, Word, Excel, etc. prepared outside of the system) through a page that will transfer and store the reports in the Document Management System",Must Have,Workshop,Business,,,,,Y
,2,Planning,Market Analysis,A. Preliminary Stakeholder Engagement and Planning,Ability to view and download the uploaded Market Analysis Reports from a page,Must Have,Workshop,Business,,,,,N
,3,Planning,Market Analysis,A. Preliminary Stakeholder Engagement and Planning,Ability to provide read/write/delete access to the Market Analysis Reports to the designated person,Must Have,Workshop,Business,,,,,Y
,4,Planning,Market Analysis,A. Preliminary Stakeholder Engagement and Planning,"Ability to create Analysis Report regarding market assessment outcomes (e.g. PPP outlook, sector overview, etc.) from a page based on a predefined template ",Must Have,Workshop,Business,,,,,N
,5,Planning,Market Analysis,A. Preliminary Stakeholder Engagement and Planning,Ability to upload any reference documents for the Analysis Report and link the document in the Document Management System.,Must Have,Workshop,Business,,,,,Y
,6,Planning,Market Analysis,A. Preliminary Stakeholder Engagement and Planning,"Ability to download the Analysis Report in MS PowerPoint, PDF or MS Word format. The system should ensure separate formatting for both MS PowerPoint and Word file formats of the analysis report.",Must Have,Workshop,Business,,,,,N
,7,Planning,Market Analysis,A. Preliminary Stakeholder Engagement and Planning,"Ability to provide a News Feed option to the CRM page to get the market information from different market data platforms e.g. Refinitiv, MEED, etc.",Must Have,Workshop,Business,,,,,N
,8,Planning,Market Analysis,A. Preliminary Stakeholder Engagement and Planning,"Ability to configure/filter the News Feed option to see the news feeds based on timeline (e.g. last 6 months, 12 months, 18 months, etc.)",Must Have,Workshop,Business,,,,,N
,9,Planning,Market Analysis,A. Preliminary Stakeholder Engagement and Planning,"Ability to configure/filter (both admin and user defined) the News Feed option to see the news feeds based on timeline (e.g. last 6 months, 12 months, 18 months, etc.)",Must Have,Workshop,Business,,,,,N
,,Planning,Business Strategy,,,,,,,,,,
,10,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,"Ability to upload the Business Strategy, Business Plan and Funding Budget documents (any formats e.g. MS PowerPoint, Word, Excel, PDF, etc.) through a page that will transfer and store the reports in the Document Management System",Must Have,Workshop,Business,,,,,Y
,11,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,"Ability to view and download the Business Strategy, Business Plan and Funding Budget documents from a page",Must Have,Workshop,Business,,,,,N
,12,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,"Ability to upload the business plan (with a predefined template in MS Excel) with information e.g. sectors, thresholds, etc. from a page. ",Must Have,Workshop,Business,,,,,N
,13,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to upload the business metrics (with a predefined template in MS Excel) from a page. ,Must Have,Workshop,Business,,,,,N
,14,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to link business metrics with the business plan along with the business strategy document (stored in the Document Management System),Must Have,Workshop,Business,,,,,N
,15,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,"Ability to upload the yearly fund budget (with a predefined template in MS Excel) for sectors, sub-sectors, etc. from a page",Must Have,Workshop,Business,,,,,N
,16,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,"Ability to track remaining fund budget based on sectors, sub-sectors, etc. from a page. The system should provide options from the page to add/update/delete other parameters to track the remaining budget.",Must Have,Workshop,Business,,,,,N
,17,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,"Ability to add/update/delete focus sectors, sub-sectors, etc. from a page and the changes should be reflected across the platform ",Must Have,Workshop,Business,,,,,N
,18,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to add/update/delete asset classes from a page and the changes should be reflected across the platform ,Must Have,Workshop,Business,,,,,N
,19,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to map asset classes with the sectors from a page and the changes should be reflected across the platform,Must Have,Workshop,Business,,,,,N
,20,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,"Ability to track fund allocated budget for the individual market assessment line item (e.g. sector, asset classes, etc.) in the analysis report",Must Have,Workshop,Business,,,,,N
